:structural:
AccelDecel	contains	Action
AccelDecel	inherits_from
Accelerate	contains	Action
Accelerate	inherits_from	IntervalAction
Action	contains	Action
ActionSprite	contains	Action
ActionSprite	inherits_from	ArcadePropertyDefaultsMixin
ActionSprite	inherits_from	Sprite
Actionable	contains	Action
Bezier	contains	Action
Bezier	inherits_from	IntervalAction
Bezier.start	modifies	target.center_x
Bezier.start	modifies	target.center_y
Bezier.update	modifies	target.center_x
Bezier.update	modifies	target.center_y
Blink	contains	Action
Blink	inherits_from	IntervalAction
Blink.update	modifies	target.visible
BoundedMove	inherits_from	Move
BoundedMove.step	modifies	target.center_x
BoundedMove.step	modifies	target.center_y
CallFunc	contains	Action
CallFunc	inherits_from	InstantAction
CallFuncS	inherits_from	CallFunc
Delay	contains	Action
Delay	inherits_from	IntervalAction
FadeIn	inherits_from	FadeOut
FadeIn.update	modifies	target.alpha
FadeOut	contains	Action
FadeOut	inherits_from	IntervalAction
FadeOut.update	modifies	target.alpha
FadeTo	contains	Action
FadeTo	inherits_from	IntervalAction
FadeTo.start	modifies	target.alpha
FadeTo.update	modifies	target.alpha
Hide	contains	Action
Hide	inherits_from	InstantAction
Hide.start	modifies	target.visible
InstantAction	contains	Action
InstantAction	inherits_from	IntervalAction
IntervalAction	contains	Action
IntervalAction	inherits_from	Action
JumpBy	contains	Action
JumpBy	inherits_from	IntervalAction
JumpBy.start	modifies	target.center_x
JumpBy.start	modifies	target.center_y
JumpBy.update	modifies	target.center_x
JumpBy.update	modifies	target.center_y
JumpTo	inherits_from	JumpBy
Lerp	contains	Action
Lerp	inherits_from	IntervalAction
Loop	contains	Action
Loop	inherits_from	Action
Move	contains	Action
Move	inherits_from	Action
Move.step	modifies	target.velocity
MoveBy	contains	Action
MoveBy	inherits_from	IntervalAction
MoveBy.start	modifies	target.center_x
MoveBy.start	modifies	target.center_y
MoveBy.update	modifies	target.center_x
MoveBy.update	modifies	target.center_y
MoveTo	contains	Action
MoveTo	inherits_from	IntervalAction
MoveTo.start	modifies	target.center_x
MoveTo.start	modifies	target.center_y
MoveTo.update	modifies	target.center_x
MoveTo.update	modifies	target.center_y
Place	contains	Action
Place	inherits_from	InstantAction
Place.start	modifies	target.center_x
